,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Husavik,44,CA,1516619383,91,50.56,-96.99,13.77,3.94
1,Corinto,0,BR,1516619657,69,-18.36,-44.46,80.32,6.17
2,Xunchang,92,CN,1516619383,90,28.45,104.71,50.35,2.71
3,Muslyumovo,92,RU,1516619384,82,55.31,53.19,17.82,13.67
4,Bakchar,0,RU,1516619384,50,57.02,82.07,-29.53,5.61
5,Ponto Novo,44,BR,1516619385,70,-10.86,-40.13,75.82,7.96
6,Mahina,8,ML,1516619658,28,13.76,-10.85,81.94,12.33
7,Mehriz,0,IR,1516617000,18,31.58,54.44,59.0,6.93
8,Lufilufi,92,WS,1516619386,100,-13.87,-171.6,79.38,17.47
9,Rio Claro,0,BR,1516615200,88,-22.41,-47.56,71.6,2.24
10,Xian,75,ES,1516618800,100,42.76,-8.49,57.2,3.36
11,Canton,90,US,1516618560,87,40.8,-81.38,48.2,6.93
12,Conchas,32,BR,1516619388,94,-23.02,-48.01,77.85,3.94
13,Umea,80,SE,1516619389,100,63.83,20.26,17.68,14.0
14,Nanyamba,75,MZ,1516615200,78,-10.69,39.81,82.4,14.99
15,Westerland,90,NL,1516618500,93,52.89,4.93,46.4,12.75
16,Nalvo,8,PH,1516619390,83,16.81,120.51,69.3,1.03
17,Fengrun,36,CN,1516619391,46,39.83,118.12,11.07,8.97
18,Sinnai,40,IT,1516618200,55,39.3,9.2,64.4,25.28
19,Santa Barbara,1,US,1516617300,93,34.42,-119.7,48.2,14.9
20,Remedios,75,CU,1516614600,88,22.5,-79.55,69.8,11.41
21,Caibarien,75,CU,1516614600,88,22.52,-79.47,69.8,11.41
22,Lourdes,0,SV,1516614600,83,13.73,-89.37,71.6,2.24
23,Mabay,75,CU,1516614660,94,20.35,-76.78,73.4,8.05
24,Natal,40,BR,1516615200,83,-5.81,-35.21,78.8,9.17
25,Bariri,36,BR,1516619396,79,-22.07,-48.74,79.47,4.5
26,Suoyarvi,68,RU,1516619396,73,62.08,32.35,10.39,3.49
27,Katherine,75,AU,1516618800,94,-14.47,132.26,77.0,4.7
28,Saint Albans,90,US,1516618380,79,44.81,-73.08,30.2,11.41
29,Belaya Gora,80,RU,1516619398,29,68.54,146.19,-19.85,6.85
30,Stolin,88,BY,1516619398,87,51.89,26.85,23.4,6.85
31,Bhikangaon,0,IN,1516619399,31,21.87,75.96,81.27,3.6
32,Zhireken,12,RU,1516619399,35,52.82,117.29,-25.39,5.17
33,Magadi,0,IN,1516617000,34,12.96,77.22,80.6,3.36
34,Warwick,90,US,1516618380,100,41.7,-71.42,37.4,2.48
35,Zhicheng,0,CN,1516619402,87,35.04,112.59,27.18,6.51
36,Southaven,75,US,1516618500,82,34.99,-90.01,57.2,11.41
37,Terra Santa,0,BR,1516619403,88,-2.1,-56.49,79.15,2.93
38,Stykkisholmur,88,IS,1516619404,97,65.08,-22.73,31.81,17.36
39,Mogadishu,0,SO,1516615200,70,2.04,45.34,84.2,19.46
40,Izhma,56,RU,1516619405,55,65.01,53.91,3.82,11.99
41,Santo Augusto,48,BR,1516619406,90,-27.85,-53.78,78.07,7.07
42,Nakskov,80,DK,1516619407,100,54.84,11.13,34.83,21.05
43,Charleston,90,US,1516614840,76,38.35,-81.63,51.8,3.36
44,Curillo,92,CO,1516619409,94,1.03,-75.92,65.02,2.37
45,Gescher,75,DE,1516618200,100,51.96,7.0,42.8,6.93
46,Balaka,0,MW,1516619410,82,-14.99,34.96,79.92,4.38
47,Les Herbiers,90,FR,1516618800,81,46.87,-1.01,53.6,28.86
48,Mineros,75,BO,1516616160,100,-17.12,-63.23,73.4,8.05
49,Amalfi,12,CO,1516619411,95,6.91,-75.07,67.9,1.92
50,Mandsaur,92,IN,1516619412,40,24.07,75.07,79.47,4.72
51,Malinyi,100,TZ,1516619413,93,-8.94,36.14,73.75,2.48
52,Tarancon,0,ES,1516618800,81,40.01,-3.01,48.2,8.05
53,Kilrush,75,IE,1516617000,87,51.96,-8.06,44.6,6.93
54,Linhares,24,BR,1516619415,79,-19.38,-40.06,81.49,4.5
55,Jagtial,0,IN,1516619415,53,18.8,78.92,78.03,2.93
56,Desbiens,20,CA,1516615200,83,48.42,-71.95,-9.41,5.82
57,Bageshwar,0,IN,1516619416,81,29.85,79.77,45.45,1.25
58,Union de San Antonio,5,MX,1516617780,35,21.1,-101.97,42.8,2.71
59,Capinota,75,BO,1516615200,82,-17.71,-66.26,55.4,2.93
60,Mandali,68,IQ,1516619418,58,33.75,45.55,61.06,9.64
61,Lind,75,DE,1516618200,100,50.85,7.1,48.2,3.36
62,Karlshamn,88,SE,1516619420,90,56.17,14.86,31.27,3.71
63,Beboto,0,TD,1516619421,19,8.27,16.94,95.85,11.99
64,Tzucacab,88,MX,1516619421,97,20.07,-89.05,72.67,3.15
65,Carambei,32,BR,1516619422,100,-24.92,-50.1,71.23,4.16
66,Avare,12,BR,1516619422,88,-23.1,-48.93,77.8,4.83
67,Gravatai,75,BR,1516615200,100,-29.94,-50.99,71.6,3.36
68,Orcopampa,80,PE,1516619423,100,-15.27,-72.34,30.55,3.04
69,Staropyshminsk,76,RU,1516617000,57,56.94,60.9,-11.21,15.66
70,Aksarka,0,RU,1516619425,0,66.56,67.8,-31.73,10.65
71,Iwaki,75,JP,1516616640,100,37.05,140.89,23.0,14.99
72,Solwezi,20,ZM,1516619426,76,-12.18,26.4,78.03,5.84
73,Smirnykh,32,RU,1516619427,73,49.74,142.83,-17.29,2.71
74,Gazojak,0,TM,1516619427,65,41.19,61.4,42.07,2.26
75,Namibe,36,AO,1516619428,100,-15.19,12.15,77.26,8.97
76,Mazabuka,8,ZM,1516619428,37,-15.86,27.75,92.2,9.31
77,Fez,0,MA,1516617000,42,34.03,-5.02,62.6,2.24
78,Changtu,0,CN,1516619430,30,42.78,124.11,-20.93,2.93
79,Herrin,90,US,1516617960,100,37.8,-89.03,57.2,11.41
80,Witbank,12,ZA,1516619431,70,-25.87,29.23,78.52,5.17
81,Lloydminster,90,CA,1516618800,100,53.28,-110.01,19.4,13.87
82,Melilla,75,EC,1516615200,83,-0.8,-80.23,77.0,1.81
83,Uspenka,92,UA,1516619433,96,48.39,39.16,24.88,11.43
84,Vozdvizhenka,56,RU,1516619433,66,56.12,60.78,-8.96,10.98
85,Kharan,0,PK,1516619434,74,28.58,65.42,48.55,4.5
86,Pteleos,40,GR,1516618200,46,39.05,22.95,50.0,9.17
87,Rondonopolis,8,BR,1516619435,77,-16.46,-54.64,83.65,3.04
88,LUGOBA,36,TZ,1516619436,90,-6.46,38.33,81.72,4.61
89,Le Vauclin,64,MQ,1516617000,83,14.55,-60.84,75.2,1.12
90,KALAS,0,PK,1516617000,32,33.49,72.96,69.8,6.93
91,Sarwar,0,IN,1516619437,64,26.06,75.01,72.13,4.05
92,Ossora,88,RU,1516619438,87,59.24,163.07,27.22,11.65
93,Oussouye,20,SN,1516615200,37,12.49,-16.54,75.2,11.41
94,Cessnock,0,AU,1516618800,65,-32.83,151.35,77.0,10.29
95,Tupik,12,RU,1516619172,0,54.43,119.94,-29.71,4.05
96,Corum,75,TR,1516614600,70,38.8,29.89,46.4,10.29
97,Kassala,0,SD,1516619441,18,15.45,36.38,96.52,8.19
98,Marquette,90,US,1516617480,92,46.54,-87.4,32.0,10.29
99,Tottori,75,JP,1516615200,100,35.5,134.23,35.6,9.17
100,Buchmany,64,UA,1516619443,92,51.07,28.04,20.88,7.74
101,Visby,0,SE,1516619444,100,57.64,18.3,32.58,8.63
102,Chase,90,US,1516617540,100,43.89,-85.64,37.4,11.41
103,Zaoyang,32,CN,1516619445,84,32.12,112.76,39.19,6.4
104,Sainte-Maxime,75,FR,1516618800,48,43.31,6.64,66.2,17.22
105,Georgiyevka,88,RU,1516619446,96,52.25,40.45,20.02,4.38
106,Yelatma,48,RU,1516619446,77,54.97,41.75,19.12,7.29
107,Karoi,8,ZW,1516619447,37,-16.82,29.68,88.92,4.61
108,Mbinga,80,TZ,1516619447,100,-10.95,35.0,71.95,4.5
109,Vermillion,90,US,1516618560,95,42.78,-96.93,33.8,24.16
110,Richmond,90,CA,1516618800,87,49.16,-123.14,44.6,12.75
111,Bela,0,PK,1516619449,24,26.23,66.31,70.06,5.61
112,Dabola,8,GN,1516619449,20,10.74,-11.11,85.72,9.98
113,Powell,90,US,1516618500,100,40.16,-83.08,48.2,9.17
114,Savantvadi,0,IN,1516619450,47,15.9,73.82,81.67,5.73
115,Alaca,44,TR,1516619452,89,40.17,34.84,41.17,9.98
116,Dubovka,90,RU,1516617000,100,49.06,44.83,28.4,13.42
117,Cumra,75,TR,1516618200,81,37.57,32.77,42.8,21.92
118,Standerton,12,ZA,1516619453,84,-26.94,29.24,74.29,5.28
119,Mahbubabad,0,IN,1516619454,46,17.62,80.02,78.88,3.83
120,Wajir,0,KE,1516619454,31,1.75,40.07,96.34,13.0
121,Biaora,76,IN,1516619455,34,23.92,76.91,80.5,4.61
122,Barguzin,12,RU,1516619456,43,53.62,109.63,-29.71,2.93
123,Ibipeba,0,BR,1516619456,53,-11.64,-42.01,79.42,9.42
124,Kholodnyy,64,RU,1516619457,30,62.72,147.95,-23.0,3.94
125,San Isidro,24,PH,1516619460,93,16.74,121.63,73.35,3.15
126,Xiaoweizhai,92,CN,1516619460,96,26.23,107.51,49.5,2.59
127,Maralal,0,KE,1516619461,39,1.1,36.7,77.85,7.52
128,Nybro,68,SE,1516619687,93,56.75,15.91,25.78,3.38
129,Canmore,1,CA,1516618800,53,51.09,-115.35,26.6,11.41
130,Karuzi,68,BI,1516619462,62,-3.1,30.16,74.92,3.71
131,La Peca,92,PE,1516619462,100,-5.61,-78.44,63.04,1.92
132,Livingston,90,US,1516615080,82,32.58,-88.19,60.8,3.36
133,Cataingan,64,PH,1516619464,94,12.0,123.99,81.76,13.44
134,Bandar-e Lengeh,0,IR,1516615200,40,26.56,54.88,73.4,9.17
135,Manica,75,MZ,1516615200,65,-18.94,32.88,78.8,8.52
136,Fergus Falls,90,US,1516617300,100,46.28,-96.08,26.6,9.17
137,Suozhen,76,CN,1516619157,69,36.95,118.1,19.3,7.63
138,New Haven,90,US,1516618560,93,41.31,-72.93,44.6,4.7
139,Novobureyskiy,8,RU,1516619467,47,49.8,129.88,-29.12,2.59
140,Nova Olimpia,0,BR,1516619153,86,-14.8,-57.29,83.29,4.38
141,West Allis,90,US,1516618500,93,43.02,-88.01,39.2,11.41
142,Asadabad,0,IR,1516615200,48,34.78,48.12,42.8,2.24
143,Zharkent,32,KZ,1516619469,79,44.17,80.0,12.87,1.7
144,Yatou,40,CM,1516615200,62,3.63,9.81,89.6,3.36
145,Phalaborwa,0,ZA,1516619470,44,-23.95,31.14,88.24,8.52
146,Yangjiang,0,CN,1516619470,96,21.85,111.96,65.2,6.06
147,Obo,0,CF,1516619471,49,5.39,26.49,90.04,10.98
148,Landau,90,DE,1516618200,100,51.34,9.08,39.2,5.82
149,Jos,0,NG,1516619472,18,9.92,8.9,80.82,9.53
150,Karratha,0,AU,1516619473,36,-20.74,116.85,94.45,10.98
151,Norman Wells,90,CA,1516615200,76,65.28,-126.83,-11.21,3.36
152,Baoning,75,CN,1516615200,76,25.34,110.03,53.6,4.47
153,Mwinilunga,12,ZM,1516619474,100,-11.73,24.43,69.97,3.15
154,Bintulu,75,MY,1516615200,79,3.17,113.03,84.2,4.7
155,Araioses,40,BR,1516616100,94,-2.89,-41.91,78.8,4.7
156,Craigieburn,75,AU,1516618800,72,-37.6,144.94,66.2,12.75
157,Nzerekore,0,GN,1516619477,22,7.76,-8.82,91.12,11.88
158,Mtwara,75,TZ,1516615200,78,-10.28,40.18,82.4,14.99
159,Sangueya,0,GN,1516619694,72,10.7,-14.37,84.33,4.16
160,Devrek,75,TR,1516618200,66,41.22,31.96,55.4,10.29
161,Podosinovets,80,RU,1516619479,72,60.28,47.06,19.3,11.88
162,Castelldefels,0,ES,1516617000,55,41.29,1.98,62.6,12.75
163,Rongcheng,0,CN,1516619480,89,37.16,122.42,23.17,17.13
164,Garhi Khairo,0,PK,1516619481,62,28.06,67.98,67.95,3.83
165,Arraias,0,BR,1516619481,84,-12.93,-46.94,80.68,5.39
166,Kaspiyskiy,92,RU,1516619482,92,45.39,47.37,33.88,12.77
167,Pombas,8,BR,1516619482,77,-15.9,-54.74,83.65,3.04
168,Bull Savanna,48,JM,1516619483,85,17.89,-77.59,68.35,6.06
169,Ode,0,NG,1516619483,23,7.79,5.71,93.01,6.85
170,Lucapa,100,AO,1516619484,88,-8.42,20.74,73.75,3.49
171,Upig,75,PH,1516615200,74,15.02,120.99,84.2,16.11
172,Murgab,0,TM,1516615200,44,37.5,61.97,59.0,4.7
173,Abapo,0,BO,1516619486,61,-18.83,-63.47,77.17,5.28
174,Esmeraldas,0,BR,1516615200,57,-19.76,-44.31,75.2,11.41
175,Liku,20,ID,1516619487,76,-0.73,119.89,81.9,3.71
176,Bestobe,8,KZ,1516619488,0,52.5,73.1,-33.58,5.61
177,Terekli-Mekteb,92,RU,1516619488,100,44.16,45.87,37.8,11.65
178,Mae Sai,0,MM,1516615200,48,20.44,99.89,82.4,2.24
179,Olyka,75,UA,1516617000,85,50.73,25.81,23.0,11.18
180,Almeirim,75,PT,1516618800,76,39.21,-8.63,57.2,8.19
181,Sulmona,0,IT,1516618500,50,42.05,13.93,51.8,5.82
182,Dobryanka,75,RU,1516617000,77,58.45,56.42,6.8,20.13
183,Pindiga,0,NG,1516619491,20,9.98,10.93,86.58,12.21
184,Tebingtinggi,40,ID,1516617000,88,3.33,99.16,80.6,4.7
185,Poddorye,80,RU,1516619493,83,57.47,31.12,22.45,11.21
186,Tarakan,44,ID,1516619141,96,3.3,117.63,81.0,5.28
187,Waterloo,90,CA,1516615200,100,43.47,-80.52,35.6,6.93
188,Balabac,36,PH,1516619495,100,7.99,117.06,81.72,7.18
189,Pervouralsk,88,RU,1516617000,57,56.9,59.94,-11.21,15.66
190,Tomohon,40,ID,1516618800,83,1.33,124.84,78.8,1.12
191,Cacequi,92,BR,1516619497,100,-29.88,-54.83,70.83,6.62
192,Karachev,75,RU,1516617000,92,53.12,35.0,17.6,4.47
193,Honningsvag,75,NO,1516618200,78,70.98,25.97,17.6,18.34
194,Tambacounda,0,SN,1516618800,11,13.77,-13.67,84.2,16.11
195,Vila Franca do Campo,75,PT,1516618800,82,37.72,-25.43,64.4,10.29
196,Mazyr,48,BY,1516619499,94,52.05,29.27,18.4,4.61
197,Nikolayevka,100,RU,1516619500,99,46.73,38.57,31.23,24.4
198,Ambanja,92,MG,1516619501,99,-13.68,48.45,73.84,3.15
199,Dubai,0,AE,1516615200,33,25.27,55.3,75.2,11.41
200,Indiana,90,US,1516618560,100,40.62,-79.15,48.2,4.61
201,Gaoua,0,BF,1516619502,22,10.33,-3.18,89.05,11.32
202,Nizhniy Odes,68,RU,1516619503,52,63.64,54.86,4.99,13.0
203,Bloemfontein,40,ZA,1516615200,47,-29.12,26.22,77.0,19.46
204,Pampa,1,US,1516618500,46,35.54,-100.96,35.6,21.92
205,Aykhal,36,RU,1516619505,82,65.95,111.51,-19.81,10.87
206,Laurel,1,US,1516618380,68,45.67,-108.77,24.8,9.17
207,Huai Thalaeng,20,TH,1516615200,52,15.0,102.65,89.6,6.93
208,Robertsport,0,LR,1516619507,93,6.75,-11.37,84.15,3.04
209,Nhamunda,8,BR,1516619233,93,-2.19,-56.71,76.63,3.27
210,Buin,20,CL,1516618800,87,-33.73,-70.74,57.2,2.59
211,Pocone,0,BR,1516619496,62,-16.26,-56.62,88.15,4.94
212,Tulungagung,56,ID,1516619509,92,-8.06,111.9,72.18,2.26
213,Llanes,8,ES,1516619510,81,43.42,-4.75,48.73,2.04
214,Pueblo Nuevo,24,MX,1516619512,88,23.99,-106.96,53.05,2.15
215,Dmytrivka,0,UA,1516617000,73,50.46,30.17,26.6,6.71
216,Igrim,0,RU,1516619513,36,63.19,64.42,-23.54,7.18
217,Nacala,44,MZ,1516619513,91,-14.56,40.69,82.75,1.81
218,Fukue,75,JP,1516617000,93,35.03,136.69,41.0,11.41
219,Sakaraha,68,MG,1516619515,63,-22.91,44.53,83.52,4.05
220,Anori,48,BR,1516619515,99,-3.74,-61.66,75.87,3.83
221,Chunoyar,56,RU,1516619516,0,57.45,97.32,-34.7,2.82
222,Zavodouspenskoye,0,RU,1516617000,56,56.86,65.02,-18.41,6.71
223,Saiki,40,JP,1516615200,86,32.95,131.89,39.2,8.05
224,Ayutla,76,MX,1516619519,61,20.13,-104.35,40.95,2.26
225,Bicester,20,GB,1516618560,81,51.9,-1.15,48.2,5.82
226,Kolpashevo,0,RU,1516619520,0,58.31,82.9,-34.07,8.41
227,Chilca,90,PE,1516617000,75,-13.22,-72.34,46.4,2.24
228,Matinha,32,BR,1516619522,100,-3.1,-45.04,76.27,3.94
229,Betanzos,75,ES,1516618800,82,43.28,-8.21,57.2,6.93
230,Ha Noi,75,VN,1516617000,69,21.02,105.84,73.4,10.29
231,Horta,20,ES,1516617000,62,41.43,2.16,62.6,13.87
